2016-07-28 14:37:58,220 | INFO  | PListStore:/Users/JacksonIsaac/Development/apache-activemq-5.4.2/data/localhost/tmp_storage stopped | org.apache.activemq.store.kahadb.plist.PListStore | Thread-21
2016-07-28 14:37:58,221 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-21
2016-07-28 14:37:58,221 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-21
2016-07-28 14:37:58,222 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-21
2016-07-28 14:37:58,406 | WARN  | Failed to remove consumer: ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-2:1:1:1. Reason: org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee | org.apache.activemq.broker.TransportConnection | ActiveMQ Task
org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee
	at org.apache.activemq.broker.ErrorBroker.getBrokerService(ErrorBroker.java:252)
	at org.apache.activemq.broker.MutableBrokerFilter.getBrokerService(MutableBrokerFilter.java:261)
	at org.apache.activemq.broker.region.Queue.isSlave(Queue.java:1644)
	at org.apache.activemq.broker.region.Queue.removeSubscription(Queue.java:509)
	at org.apache.activemq.broker.region.AbstractRegion.removeConsumer(AbstractRegion.java:339)
	at org.apache.activemq.broker.region.RegionBroker.removeConsumer(RegionBroker.java:468)
	at org.apache.activemq.broker.jmx.ManagedRegionBroker.removeConsumer(ManagedRegionBroker.java:258)
	at org.apache.activemq.broker.BrokerFilter.removeConsumer(BrokerFilter.java:117)
	at org.apache.activemq.advisory.AdvisoryBroker.removeConsumer(AdvisoryBroker.java:237)
	at org.apache.activemq.broker.BrokerFilter.removeConsumer(BrokerFilter.java:117)
	at org.apache.activemq.broker.BrokerFilter.removeConsumer(BrokerFilter.java:117)
	at org.apache.activemq.broker.MutableBrokerFilter.removeConsumer(MutableBrokerFilter.java:123)
	at org.apache.activemq.broker.TransportConnection.processRemoveConsumer(TransportConnection.java:579)
	at org.apache.activemq.broker.TransportConnection.processRemoveSession(TransportConnection.java:617)
	at org.apache.activemq.broker.TransportConnection.processRemoveConnection(TransportConnection.java:724)
	at org.apache.activemq.broker.TransportConnection.doStop(TransportConnection.java:1014)
	at org.apache.activemq.broker.TransportConnection$3.run(TransportConnection.java:941)
	at java.lang.Thread.run(Thread.java:745)
2016-07-28 14:37:59,068 | WARN  | Failed to remove session ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-2:1:1 | org.apache.activemq.broker.TransportConnection.Service | ActiveMQ Task
org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee
	at org.apache.activemq.broker.ErrorBroker.removeSession(ErrorBroker.java:99)
	at org.apache.activemq.broker.MutableBrokerFilter.removeSession(MutableBrokerFilter.java:175)
	at org.apache.activemq.broker.TransportConnection.processRemoveSession(TransportConnection.java:631)
	at org.apache.activemq.broker.TransportConnection.processRemoveConnection(TransportConnection.java:724)
	at org.apache.activemq.broker.TransportConnection.doStop(TransportConnection.java:1014)
	at org.apache.activemq.broker.TransportConnection$3.run(TransportConnection.java:941)
	at java.lang.Thread.run(Thread.java:745)
2016-07-28 14:37:59,069 | WARN  | Failed to remove consumer: ID:107.196.eduroam.dynamic.rbg.tum.de-56448-1469706663719-2:1:-1:1. Reason: org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee | org.apache.activemq.broker.TransportConnection | ActiveMQ Task
org.apache.activemq.broker.BrokerStoppedException: Broker has been stopped: org.apache.activemq.broker.BrokerService$3@3970a5ee
	at org.apache.activemq.broker.ErrorBroker.removeConsumer(ErrorBroker.java:155)
	at org.apache.activemq.broker.MutableBrokerFilter.removeConsumer(MutableBrokerFilter.java:123)
	at org.apache.activemq.broker.TransportConnection.processRemoveConsumer(TransportConnection.java:579)
	at org.apache.activemq.broker.TransportConnection.processRemoveSession(TransportConnection.java:617)
	at org.apache.activemq.broker.TransportConnection.processRemoveConnection(TransportConnection.java:724)
	at org.apache.activemq.broker.TransportConnection.doStop(TransportConnection.java:1014)
	at org.apache.activemq.broker.TransportConnection$3.run(TransportConnection.java:941)
	at java.lang.Thread.run(Thread.java:745)
